Order,Week,Day,Link,ID,location,Game_ID,Slate_ID,Away,Home
30,10,Monday,https://www.draftkings.com/contest/gamecenter/118182717,118182717,DraftKings_Contest_Files_1,415,1458,LAR,SF
31,11,Thursday,https://www.draftkings.com/contest/gamecenter/118481106,118481106,DraftKings_Contest_Files_1,416,1505,NE,ATL
32,11,Sunday,https://www.draftkings.com/contest/gamecenter/118677099,118677099,DraftKings_Contest_Files_2,429,1531,PIT,LAC
33,11,Monday,https://www.draftkings.com/contest/gamecenter/118747182,118747182,DraftKings_Contest_Files_1,430,1532,NYG,TB
34,12,Thursday,https://www.draftkings.com/contest/gamecenter/118996121,118996121,DraftKings_Contest_Files_2,431,1577,CHI,DET
35,12,Thursday,https://www.draftkings.com/contest/gamecenter/118998255,118998255,DraftKings_Contest_Files_2,432,1579,LV,DAL
36,12,Thursday,https://www.draftkings.com/contest/gamecenter/118999978,118999978,DraftKings_Contest_Files_2,433,1582,BUF,NO
37,12,Sunday,https://www.draftkings.com/contest/gamecenter/119302554,119302554,DraftKings_Contest_Files_2,444,1615,CLE,BAL
38,12,Monday,https://www.draftkings.com/contest/gamecenter/119309084,119309084,DraftKings_Contest_Files_2,445,1617,SEA,WAS
39,13,Thursday,https://www.draftkings.com/contest/gamecenter/119576741,119576741,DraftKings_Contest_Files_1,446,1671,DAL,NO
40,13,Sunday,https://www.draftkings.com/contest/gamecenter/119786121,119786121,DraftKings_Contest_Files_2,452,1701,DEN,KC
41,13,Monday,https://www.draftkings.com/contest/gamecenter/119843300,119843300,DraftKings_Contest_Files_1,459,1703,NE,BUF
42,14,Thursday,https://www.draftkings.com/contest/gamecenter/120078895,120078895,DraftKings_Contest_Files_2,460,1740,PIT,MIN
43,14,Sunday,https://www.draftkings.com/contest/gamecenter/120250481,120250481,DraftKings_Contest_Files_2,472,1772,CHI,GB
44,14,Monday,https://www.draftkings.com/contest/gamecenter/120297743,120297743,DraftKings_Contest_Files_1,473,1773,LAR,ARI
45,15,Thursday,https://www.draftkings.com/contest/gamecenter/120542385,120542385,DraftKings_Contest_Files_1,474,1810,KC,LAC
46,15,Saturday,https://www.draftkings.com/contest/gamecenter/120601050,120601050,DraftKings_Contest_Files_2,477,1851,NE,IND
47,15,Sunday,https://www.draftkings.com/contest/gamecenter/120742183,120742183,DraftKings_Contest_Files_2,488,1863,NO,TB
48,15,Monday,https://www.draftkings.com/contest/gamecenter/120889552,120889552,DraftKings_Contest_Files_2,476,1814,LV,CLE
49,15,Monday,https://www.draftkings.com/contest/gamecenter/120899156,120899156,DraftKings_Contest_Files_2,489,1864,MIN,CHI
50,15,Tuesday,https://www.draftkings.com/contest/gamecenter/121022222,121022222,DraftKings_Contest_Files_2,487,1862,SEA,LAR
51,15,Tuesday,https://www.draftkings.com/contest/gamecenter/121022221,121022221,DraftKings_Contest_Files_2,479,1857,WAS,PHI
52,16,Thursday,https://www.draftkings.com/contest/gamecenter/121063308,121063308,DraftKings_Contest_Files_1,490,1913,SF,TEN
53,16,Saturday,https://www.draftkings.com/contest/gamecenter/121083666,121083666,DraftKings_Contest_Files_2,491,1915,CLE,GB
54,16,Saturday,https://www.draftkings.com/contest/gamecenter/121104529,121104529,DraftKings_Contest_Files_2,492,1917,IND,ARI
55,16,Sunday,https://www.draftkings.com/contest/gamecenter/121235078,121235078,DraftKings_Contest_Files_2,504,1935,WAS,DAL
56,16,Monday,https://www.draftkings.com/contest/gamecenter/121281717,121281717,DraftKings_Contest_Files_2,505,1936,MIA,NO
57,17,Sunday,https://www.draftkings.com/contest/gamecenter/121656574,121656574,DraftKings_Contest_Files_2,520,2000,MIN,GB
58,17,Monday,https://www.draftkings.com/contest/gamecenter/121731839,121731839,DraftKings_Contest_Files_1,521,2001,CLE,PIT
59,18,Saturday,https://www.draftkings.com/contest/gamecenter/121926760,121926760,DraftKings_Contest_Files_2,535,2058,KC,DEN
60,18,Saturday,https://www.draftkings.com/contest/gamecenter/121926783,121926783,DraftKings_Contest_Files_2,532,2060,DAL,PHI
61,18,Sunday,https://www.draftkings.com/contest/gamecenter/122094553,122094553,DraftKings_Contest_Files_2,537,2080,LAC,LV
62,19,Saturday,https://www.draftkings.com/contest/gamecenter/122344234,122344234,DraftKings_Contest_Files_2,539,2127,LV,CIN
63,19,Saturday,https://www.draftkings.com/contest/gamecenter/122344258,122344258,DraftKings_Contest_Files_2,540,2128,NE,BUF
64,19,Sunday,https://www.draftkings.com/contest/gamecenter/122409823,122409823,DraftKings_Contest_Files_2,541,2130,PHI,TB
65,19,Sunday,https://www.draftkings.com/contest/gamecenter/122409824,122409824,DraftKings_Contest_Files_2,542,2132,SF,DAL
66,19,Sunday,https://www.draftkings.com/contest/gamecenter/122409839,122409839,DraftKings_Contest_Files_2,543,2134,PIT,KC
67,19,Monday,https://www.draftkings.com/contest/gamecenter/122516345,122516345,DraftKings_Contest_Files_1,544,2136,ARI,LAR
68,20,Saturday,https://www.draftkings.com/contest/gamecenter/122804901,122804901,DraftKings_Contest_Files_2,545,2173,CIN,TEN
69,20,Saturday,https://www.draftkings.com/contest/gamecenter/122804907,122804907,DraftKings_Contest_Files_2,546,2175,SF,GB
70,20,Sunday,https://www.draftkings.com/contest/gamecenter/122851249,122851249,DraftKings_Contest_Files_2,548,2180,LAR,TB
71,20,Sunday,https://www.draftkings.com/contest/gamecenter/122851258,122851258,DraftKings_Contest_Files_2,547,2178,BUF,KC
72,21,Sunday,https://www.draftkings.com/contest/gamecenter/123137522,123137522,DraftKings_Contest_Files_2,549,2207,CIN,KC
73,21,Sunday,https://www.draftkings.com/contest/gamecenter/123143492,123143492,DraftKings_Contest_Files_2,550,2209,SF,LAR
74,23,Sunday,https://www.draftkings.com/contest/gamecenter/123385146,123385146,DraftKings_Contest_Files_1,551,2222,LAR,CIN
